,id,name,popularity,track_number,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artists,album,release_date
178,0AEoopl9xD5DDfs0R3Aqqs,Pilla Chao,43.0,3.0,spotify:track:0AEoopl9xD5DDfs0R3Aqqs,0.74,0.901,-8.323,0.041,0.525,0.141,0.382,0.894,131.07,Rahul Nambiar,Businessman,2011-12-22
179,3na6VGHw5UrfEUHeHdAN6m,Pilla Picture Perfect,48.0,1.0,spotify:track:3na6VGHw5UrfEUHeHdAN6m,0.806,0.736,-5.219,0.0525,0.264,0.00788,0.118,0.939,122.992,Nikhita Gandhi,Ranarangam,2019-07-29
180,5W4pohpSOIHfD2GRMLPVKx,Boom Boom,37.0,1.0,spotify:track:5W4pohpSOIHfD2GRMLPVKx,0.79,0.578,-4.79,0.0423,0.0622,6.95e-05,0.309,0.528,104.006,Nikhita Gandhi,Spyder (Telugu),2017-09-09
181,1LlFJKCWj1G9mK0lBiYLk2,Ladio,48.0,3.0,spotify:track:1LlFJKCWj1G9mK0lBiYLk2,0.547,0.877,-5.306,0.0406,0.00218,0.0233,0.336,0.55,134.916,"A.R. Rahman, Nikhita Gandhi",I (Original Motion Picture Soundtrack),2014-09-18
182,2kFaEZJM9coKfesI5LOaPJ,Neethoney Dance,51.0,4.0,spotify:track:2kFaEZJM9coKfesI5LOaPJ,0.811,0.962,-2.719,0.0484,0.113,0.0,0.4,0.876,119.973,"Hiphop Tamizha, Nikhita Gandhi",Dhruva,2016-11-09
183,1feANd8EfcDP5UqSvbheM3,"Bekhayali (From ""Kabir Singh"")",69.0,1.0,spotify:track:1feANd8EfcDP5UqSvbheM3,0.308,0.585,-5.18,0.0428,0.45,0.0,0.319,0.345,171.843,"Sachet Tandon, Sachet-Parampara","Bekhayali (From ""Kabir Singh"")",2019-05-24
184,5O9jxRlG72h1sYxtqWwUcF,Shiddat Title Track,72.0,1.0,spotify:track:5O9jxRlG72h1sYxtqWwUcF,0.489,0.625,-6.497,0.0584,0.288,0.0,0.133,0.439,149.921,Manan Bhardwaj,Shiddat,2021-09-22
185,6qZyM6JV8ohLC4S2EL5sFh,Barbaadiyan,75.0,3.0,spotify:track:6qZyM6JV8ohLC4S2EL5sFh,0.758,0.57,-8.645,0.0462,0.00374,2.47e-06,0.184,0.567,126.966,"Sachet Tandon, Nikhita Gandhi, Madhubanti Bagchi, Sachin-Jigar",Shiddat,2021-09-22
186,0k2modGW9JkPeVZSYQvWhz,"Husn Parcham (From ""Zero"")",53.0,1.0,spotify:track:0k2modGW9JkPeVZSYQvWhz,0.737,0.887,-5.017,0.1,0.0335,0.000168,0.0604,0.423,102.028,"Bhoomi Trivedi, Raja Kumari, Ajay-Atul","Husn Parcham (From ""Zero"")",2018-12-12
187,5GSDiJH0cGvEurELsoZLXk,Mellane,18.0,2.0,spotify:track:5GSDiJH0cGvEurELsoZLXk,0.655,0.387,-9.44,0.034,0.609,0.0,0.151,0.166,109.866,Sanjith Hegde,Rider,2022-03-10
188,3ipHW5XTIQ5CtNWEurXuOI,Davva Davva,17.0,1.0,spotify:track:3ipHW5XTIQ5CtNWEurXuOI,0.745,0.703,-5.947,0.044,0.18,0.000312,0.0426,0.66,90.025,Armaan Malik,Rider,2022-03-10
189,5T4MUhBDobvQSx4DWSbkZo,"Davva Davva (From ""Rider"")",44.0,1.0,spotify:track:5T4MUhBDobvQSx4DWSbkZo,0.745,0.703,-5.947,0.044,0.18,0.000312,0.0426,0.66,90.025,"Armaan Malik, Arjun Janya","Davva Davva (From ""Rider"")",2021-10-16
190,2tcXKUZQb7mR2oaSFuJERr,Priya Priya,17.0,2.0,spotify:track:2tcXKUZQb7mR2oaSFuJERr,0.763,0.705,-8.303,0.053,0.687,0.165,0.078,0.595,93.013,Rahul Nambiar,Jaguar,2016-09-02
191,6BbiJnR7aBjCXyXS1Kv3pT,Mamaseetha,25.0,4.0,spotify:track:6BbiJnR7aBjCXyXS1Kv3pT,0.79,0.666,-6.187,0.0288,0.188,0.000438,0.128,0.754,97.947,"Karthik, Megha",Jaguar,2016-09-02
192,1wbFDTmeDnAisviEoxLTOw,Oorigobba Raaja,33.0,3.0,spotify:track:1wbFDTmeDnAisviEoxLTOw,0.803,0.742,-5.721,0.0602,0.221,5.92e-06,0.068,0.661,127.938,"Thaman S, Puneeth Rajkumar, Ramya Behra",Yuvarathnaa (Kannada) (Original Motion Picture Soundtrack),2021-08-04
193,2LFI7beuuO3cZUls7QWarg,Neenaade Naa,50.0,2.0,spotify:track:2LFI7beuuO3cZUls7QWarg,0.451,0.54,-9.268,0.0392,0.826,1.15e-06,0.156,0.458,186.07,"Thaman S, Armaan Malik, Shreya Ghoshal",Yuvarathnaa (Kannada) (Original Motion Picture Soundtrack),2021-08-04
194,6Mams2ZPHqDzPyQD1eM5x0,Guruvaram,0.0,2.0,spotify:track:6Mams2ZPHqDzPyQD1eM5x0,0.808,0.717,-7.768,0.129,0.609,2.42e-06,0.0925,0.821,97.001,Vijay Prakash,Kirrak Party (Original Motion Picture Soundtrack),2018-03-10
199,67Ws2eKhfhzdAv12gRLqo5,"Ye Chota Nuvvunna (feat. Tulsi Kumar, Haricharan Seshadri)",48.0,2.0,spotify:track:67Ws2eKhfhzdAv12gRLqo5,0.725,0.675,-6.225,0.0444,0.116,4.39e-05,0.099,0.641,92.017,"Guru Randhawa, Tulsi Kumar, Haricharan",Saaho,2019-08-28
200,4B7hHdp3YiEUoCfYJoRRP2,Digu Digu Digu Naaga,63.0,1.0,spotify:track:4B7hHdp3YiEUoCfYJoRRP2,0.676,0.921,-5.795,0.112,0.588,0.00115,0.107,0.666,175.976,Shreya Ghoshal,Varudu Kaavalenu,2021-08-04
201,41IQYtoxWhrxC6jKyyxHuK,So So Ga,52.0,1.0,spotify:track:41IQYtoxWhrxC6jKyyxHuK,0.736,0.618,-7.502,0.0604,0.631,6.8e-06,0.265,0.91,104.962,Sid Sriram,Manchi Rojulochaie,2021-11-01
202,43MaYmeXYuEH4mpuaGH0uC,Penny,60.0,1.0,spotify:track:43MaYmeXYuEH4mpuaGH0uC,0.788,0.889,-5.695,0.034,0.216,0.0283,0.137,0.862,100.982,"Thaman S, Nakash Aziz",Penny - Sarkaru Vaari Paata,2022-03-20
223,6SRzIqukq69xlvVoTSmrW5,So Baby,52.0,3.0,spotify:track:6SRzIqukq69xlvVoTSmrW5,0.624,0.868,-7.103,0.206,0.105,4.72e-05,0.12,0.563,133.125,"Anirudh Ravichander, Ananthakrrishnan",Doctor (Original Motion Picture Soundtrack),2021-10-05
224,7fdsoKCtpx2hYXDRMoActW,Chellamma,56.0,1.0,spotify:track:7fdsoKCtpx2hYXDRMoActW,0.525,0.68,-7.252,0.207,0.254,0.000348,0.0601,0.734,132.857,"Anirudh Ravichander, Jonita Gandhi",Doctor (Original Motion Picture Soundtrack),2021-10-05
225,3fdlG1p9oIxnUx5DsF8PZq,Arakkiye,35.0,1.0,spotify:track:3fdlG1p9oIxnUx5DsF8PZq,0.685,0.643,-7.204,0.0646,0.214,0.000724,0.183,0.275,107.979,"Anivee, Amitash, Jonita Gandhi",Arakkiye,2021-02-12
226,0DXR2HK3ygeK5sNYNWk1y1,Yeh Pyasi Jawani,29.0,15.0,spotify:track:0DXR2HK3ygeK5sNYNWk1y1,0.629,0.879,-8.062,0.134,0.226,5.83e-05,0.157,0.447,143.905,Alka Yagnik,Gupt (Original Motion Picture Soundtrack),1997-07-04
227,2tvswXYnZML2ef89dZuGAG,Mushkil Bada Yeh Pyaar Hai,43.0,11.0,spotify:track:2tvswXYnZML2ef89dZuGAG,0.61,0.971,-8.653,0.0512,0.141,0.00152,0.0991,0.634,129.948,"Alka Yagnik, Udit Narayan",Gupt (Original Motion Picture Soundtrack),1997-07-04
228,2r32XiAWtZbT3eLUvf4pag,Jee Le Zaraa,61.0,2.0,spotify:track:2r32XiAWtZbT3eLUvf4pag,0.584,0.698,-6.61,0.0376,0.447,0.0,0.0699,0.436,79.993,Vishal Dadlani,Talaash,2012-10-18
229,6XjJXPP3UiGtAQpYkD01c0,Chittiyaan Kalaiyaan,61.0,3.0,spotify:track:6XjJXPP3UiGtAQpYkD01c0,0.793,0.887,-5.285,0.0954,0.0962,6.39e-05,0.623,0.602,100.007,"Meet Bros Anjjan, Kanika Kapoor",Roy,2015-01-09
230,48pyUxg9RYuwie5M9R7qRn,Sooraj Dooba Hain,66.0,1.0,spotify:track:48pyUxg9RYuwie5M9R7qRn,0.616,0.75,-4.629,0.0594,0.172,0.0,0.137,0.434,128.051,"Arijit Singh, Aditi Singh Sharma",Roy,2015-01-09
231,4brSaQIT3bnnE41D042fgL,Tu Hai Ki Nahi,66.0,2.0,spotify:track:4brSaQIT3bnnE41D042fgL,0.535,0.754,-4.77,0.0562,0.458,1.6e-06,0.302,0.435,143.862,Ankit Tiwari,Roy,2015-01-09
232,4x723mcckl6ToQHuXPhrIX,Toota Jo Kabhi Tara,62.0,2.0,spotify:track:4x723mcckl6ToQHuXPhrIX,0.443,0.674,-6.302,0.0358,0.424,3.15e-05,0.121,0.219,139.906,"Atif Aslam, Sumedha Karmahe",A Flying Jatt,2016-08-04
233,13nt0ZQGcwH7oPitTFwjPX,Iraiva,42.0,4.0,spotify:track:13nt0ZQGcwH7oPitTFwjPX,0.571,0.729,-5.603,0.0481,0.198,0.0,0.103,0.378,140.062,"Anirudh Ravichander, Jonita Gandhi",Velaikkaran (Original Motion Picture Soundtrack),2017-12-04
