Track Name,Artists,Album,URI,Release Date
Chamka Chamka,"Ranjith Govind, Geetha Madhuri",Chirutha,4nQTjFHjgznhXpW2j3bu9Y,2007-08-21
Ye Chilipi,Srinivas,Gharshana-New,3LYt0b1ljHUYoG5YL2WwWP,2004-06-19
Cheliya Cheliya,"KK, Suchitra",Gharshana-New,0anBHV3eP4hiHsLQR5AZsm,2004-06-19
Pilla Nuvvu Leni Jeevitham,"Anudeep Dev, Rahul",Pilla Nuvvu Leni Jeevitham,1tpSHNJZjyudKu3kK4wNJo,2014-10-25
Pilla Chao,Rahul Nambiar,Businessman,0AEoopl9xD5DDfs0R3Aqqs,2011-12-22
Pilla Picture Perfect,Nikhita Gandhi,Ranarangam,3na6VGHw5UrfEUHeHdAN6m,2019-07-29
Boom Boom,Nikhita Gandhi,Spyder (Telugu),5W4pohpSOIHfD2GRMLPVKx,2017-09-09
Ladio,"A.R. Rahman, Nikhita Gandhi",I (Original Motion Picture Soundtrack),1LlFJKCWj1G9mK0lBiYLk2,2014-09-18
Neethoney Dance,"Hiphop Tamizha, Nikhita Gandhi",Dhruva,2kFaEZJM9coKfesI5LOaPJ,2016-11-09
"Bekhayali (From ""Kabir Singh"")","Sachet Tandon, Sachet-Parampara","Bekhayali (From ""Kabir Singh"")",1feANd8EfcDP5UqSvbheM3,2019-05-24
Shiddat Title Track,Manan Bhardwaj,Shiddat,5O9jxRlG72h1sYxtqWwUcF,2021-09-22
Barbaadiyan,"Sachet Tandon, Nikhita Gandhi, Madhubanti Bagchi, Sachin-Jigar",Shiddat,6qZyM6JV8ohLC4S2EL5sFh,2021-09-22
"Husn Parcham (From ""Zero"")","Bhoomi Trivedi, Raja Kumari, Ajay-Atul","Husn Parcham (From ""Zero"")",0k2modGW9JkPeVZSYQvWhz,2018-12-12
Mellane,Sanjith Hegde,Rider,5GSDiJH0cGvEurELsoZLXk,2022-03-10
Davva Davva,Armaan Malik,Rider,3ipHW5XTIQ5CtNWEurXuOI,2022-03-10
"Davva Davva (From ""Rider"")","Armaan Malik, Arjun Janya","Davva Davva (From ""Rider"")",5T4MUhBDobvQSx4DWSbkZo,2021-10-16
Priya Priya,Rahul Nambiar,Jaguar,2tcXKUZQb7mR2oaSFuJERr,2016-09-02
Mamaseetha,"Karthik, Megha",Jaguar,6BbiJnR7aBjCXyXS1Kv3pT,2016-09-02
Oorigobba Raaja,"Thaman S, Puneeth Rajkumar, Ramya Behra",Yuvarathnaa (Kannada) (Original Motion Picture Soundtrack),1wbFDTmeDnAisviEoxLTOw,2021-08-04
Neenaade Naa,"Thaman S, Armaan Malik, Shreya Ghoshal",Yuvarathnaa (Kannada) (Original Motion Picture Soundtrack),2LFI7beuuO3cZUls7QWarg,2021-08-04
Guruvaram,Vijay Prakash,Kirrak Party (Original Motion Picture Soundtrack),6Mams2ZPHqDzPyQD1eM5x0,2018-03-10
Padhe Padhe,"Anirudh Ravichander, Shakthisree Gopalan, Brodha V",Jersey,4C2lBvxAbKJB8pQ2baVd2e,2019-04-17
"Ye Chota Nuvvunna (feat. Tulsi Kumar, Haricharan Seshadri)","Guru Randhawa, Tulsi Kumar, Haricharan",Saaho,67Ws2eKhfhzdAv12gRLqo5,2019-08-28
Digu Digu Digu Naaga,Shreya Ghoshal,Varudu Kaavalenu,4B7hHdp3YiEUoCfYJoRRP2,2021-08-04
